date,stage,match,selection,decimal_odds,market_probability,model_probability,value_gap,signal,risk_label,confidence_score,kelly_stake_pct,bankroll_note,quality_label
2026-06-22,FIFA World Cup,New Zealand vs Egypt,New Zealand,4.77,0.2096,0.2515,0.0418,NO BET,HIGH RISK,0.2333,0.0132,No bet suggested.,NO_BET
2026-06-21,FIFA World Cup,Ecuador vs Curaçao,Curaçao,13.32,0.0751,0.2037,0.1286,NO BET,VERY HIGH RISK,0.2324,0.0348,No bet suggested.,NO_BET
2026-06-21,FIFA World Cup,Belgium vs Iran,Draw,4.6,0.2174,0.2538,0.0364,NO BET,HIGH RISK,0.2301,0.0116,No bet suggested.,NO_BET
2026-06-25,FIFA World Cup,Curaçao vs Ivory Coast,Draw,6.15,0.1626,0.2462,0.0836,NO BET,VERY HIGH RISK,0.2299,0.025,No bet suggested.,NO_BET
2026-06-16,FIFA World Cup,Iran vs New Zealand,New Zealand,4.38,0.2283,0.2587,0.0304,NO BET,HIGH RISK,0.2291,0.0098,No bet suggested.,NO_BET
2026-06-11,FIFA World Cup,Mexico vs South Africa,South Africa,8.44,0.1185,0.2235,0.1051,NO BET,VERY HIGH RISK,0.2286,0.0298,No bet suggested.,NO_BET
2026-06-17,FIFA World Cup,Austria vs Jordan,Jordan,9.07,0.1103,0.2168,0.1066,NO BET,VERY HIGH RISK,0.2234,0.0299,No bet suggested.,NO_BET
2026-06-24,FIFA World Cup,Colombia vs DR Congo,DR Congo,7.25,0.1379,0.2304,0.0924,NO BET,VERY HIGH RISK,0.2228,0.0268,No bet suggested.,NO_BET
2026-06-16,FIFA World Cup,France vs Senegal,Senegal,7.14,0.1401,0.2304,0.0903,NO BET,VERY HIGH RISK,0.2207,0.0263,No bet suggested.,NO_BET
2026-06-26,FIFA World Cup,Senegal vs Iraq,Draw,4.5,0.2222,0.2512,0.029,NO BET,HIGH RISK,0.2203,0.0093,No bet suggested.,NO_BET
2026-06-18,FIFA World Cup,Canada vs Qatar,Draw,5.11,0.1957,0.2575,0.0618,NO BET,VERY HIGH RISK,0.2193,0.0192,No bet suggested.,NO_BET
2026-06-24,FIFA World Cup,Bosnia & Herzegovina vs Qatar,Draw,3.95,0.2532,0.265,0.0118,NO BET,HIGH RISK,0.2168,0.004,No bet suggested.,NO_BET
2026-06-14,FIFA World Cup,Haiti vs Scotland,Draw,4.22,0.237,0.2562,0.0193,NO BET,HIGH RISK,0.2155,0.0063,No bet suggested.,NO_BET
2026-06-18,FIFA World Cup,Czech Republic vs South Africa,South Africa,4.12,0.2427,0.2587,0.016,NO BET,HIGH RISK,0.2147,0.0053,No bet suggested.,NO_BET
2026-06-18,FIFA World Cup,Uzbekistan vs Colombia,Uzbekistan,8.35,0.1198,0.2168,0.0971,NO BET,VERY HIGH RISK,0.2139,0.0276,No bet suggested.,NO_BET
2026-06-23,FIFA World Cup,England vs Ghana,Ghana,9.31,0.1074,0.2102,0.1028,NO BET,VERY HIGH RISK,0.213,0.0288,No bet suggested.,NO_BET
2026-06-27,FIFA World Cup,Uruguay vs Spain,Draw,3.94,0.2538,0.2625,0.0087,NO BET,HIGH RISK,0.2112,0.0029,No bet suggested.,NO_BET
2026-06-18,FIFA World Cup,Uzbekistan vs Colombia,Draw,4.56,0.2193,0.245,0.0257,NO BET,HIGH RISK,0.2107,0.0082,No bet suggested.,NO_BET
2026-06-11,FIFA World Cup,Mexico vs South Africa,Draw,4.49,0.2227,0.2462,0.0235,NO BET,HIGH RISK,0.2098,0.0076,No bet suggested.,NO_BET
2026-06-23,FIFA World Cup,Portugal vs Uzbekistan,Draw,6.22,0.1608,0.235,0.0742,NO BET,VERY HIGH RISK,0.2092,0.0221,No bet suggested.,NO_BET
