match_id,date,stage,team_a,team_b,selection,decimal_odds,implied_probability,model_probability,value_gap,kelly_stake_pct,signal,risk_label,confidence_score,quality_label
38,2026-06-21,FIFA World Cup,Belgium,Iran,Draw,4.6,0.2174,0.2538,0.0364,0.0116,NO BET,HIGH RISK,0.2301,NO_BET
55,2026-06-25,FIFA World Cup,Curaçao,Ivory Coast,Draw,6.15,0.1626,0.2462,0.0836,0.025,NO BET,VERY HIGH RISK,0.2299,NO_BET
16,2026-06-16,FIFA World Cup,Iran,New Zealand,New Zealand,4.38,0.2283,0.2587,0.0304,0.0098,NO BET,HIGH RISK,0.2291,NO_BET
1,2026-06-11,FIFA World Cup,Mexico,South Africa,South Africa,8.44,0.1185,0.2235,0.1051,0.0298,NO BET,VERY HIGH RISK,0.2286,NO_BET
20,2026-06-17,FIFA World Cup,Austria,Jordan,Jordan,9.07,0.1103,0.2168,0.1066,0.0299,NO BET,VERY HIGH RISK,0.2234,NO_BET
48,2026-06-24,FIFA World Cup,Colombia,DR Congo,DR Congo,7.25,0.1379,0.2304,0.0924,0.0268,NO BET,VERY HIGH RISK,0.2228,NO_BET
17,2026-06-16,FIFA World Cup,France,Senegal,Senegal,7.14,0.1401,0.2304,0.0903,0.0263,NO BET,VERY HIGH RISK,0.2207,NO_BET
62,2026-06-26,FIFA World Cup,Senegal,Iraq,Draw,4.5,0.2222,0.2512,0.029,0.0093,NO BET,HIGH RISK,0.2203,NO_BET
27,2026-06-18,FIFA World Cup,Canada,Qatar,Draw,5.11,0.1957,0.2575,0.0618,0.0192,NO BET,VERY HIGH RISK,0.2193,NO_BET
49,2026-06-24,FIFA World Cup,Bosnia & Herzegovina,Qatar,Draw,3.95,0.2532,0.265,0.0118,0.004,NO BET,HIGH RISK,0.2168,NO_BET
7,2026-06-14,FIFA World Cup,Haiti,Scotland,Draw,4.22,0.237,0.2562,0.0193,0.0063,NO BET,HIGH RISK,0.2155,NO_BET
25,2026-06-18,FIFA World Cup,Czech Republic,South Africa,South Africa,4.12,0.2427,0.2587,0.016,0.0053,NO BET,HIGH RISK,0.2147,NO_BET
24,2026-06-18,FIFA World Cup,Uzbekistan,Colombia,Uzbekistan,8.35,0.1198,0.2168,0.0971,0.0276,NO BET,VERY HIGH RISK,0.2139,NO_BET
46,2026-06-23,FIFA World Cup,England,Ghana,Ghana,9.31,0.1074,0.2102,0.1028,0.0288,NO BET,VERY HIGH RISK,0.213,NO_BET
64,2026-06-27,FIFA World Cup,Uruguay,Spain,Draw,3.94,0.2538,0.2625,0.0087,0.0029,NO BET,HIGH RISK,0.2112,NO_BET
24,2026-06-18,FIFA World Cup,Uzbekistan,Colombia,Draw,4.56,0.2193,0.245,0.0257,0.0082,NO BET,HIGH RISK,0.2107,NO_BET
